Title,Author,Rating,IMG_URL
"დრო მიდის, კადრები კი რჩება","Gvazava, Luka",3.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566502140l/52300687._SX50_SY75_.jpg
სასაფლაოს წიგნი,"Gaiman, Neil",4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479393913l/33001192._SY75_.jpg
ბერძნულ-რომაული მითები,"Mikeladze, Maka",3.67,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486375407l/34136443._SX50_.jpg
"ლომი, კუდიანი და გარდერობი
        (Chronicles of Narnia, #1)","Lewis, C.S.",4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448740192l/28004128._SX50_.jpg
"ჯადოქრის დისწული (The Chronicles of Narnia
        (The Chronicles of Narnia (Publication Order) #6)","Lewis, C.S.",4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444562227l/27126703._SY75_.jpg
"მაძიებელი - ჯადოქრის პირველი კანონი II
        (ჭეშმარიტების მახვილი #1 ნაწილი 1)","Goodkind, Terry",4.10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472466757l/31699289._SY75_.jpg
"მაძიებელი - ჯადოქრის პირველი კანონი I
        (ჭეშმარიტების მახვილი #1 ნაწილი 1)","Goodkind, Terry",3.60,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468845120l/31144428._SX50_.jpg
ფალიაშვილის ქუჩის ძაღლები,"Morchiladze, Aka",4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313205909l/10569216._SY75_.jpg
დრაკულა,"Stoker, Bram",4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594966014l/29768569._SX50_.jpg
მექანიკური ფორთოხალი,"Burgess, Anthony",4.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374631946l/13452429._SX50_.jpg
"მე, შენამდე
        (Me Before You, #1)","Moyes, Jojo",4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482686086l/30625052._SX50_.jpg
როჯერ ეკროიდის მკვლელობა,"Christie, Agatha",4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466019965l/30628400._SX50_.jpg
ევროპული აღზრდა,"Gary, Romain",4.00,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484217173l/33842831._SY75_.jpg
ძილისპირული,"Palahniuk, Chuck",3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1455191402l/29070905._SY75_.jpg
"ყვავების ექვსეული
        (Six of Crows, #1)","Bardugo, Leigh",4.49,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614334667l/51333965._SX50_.jpg
წამებაი წმიდისა და ნეტარისა ჰაბოისი,"Sabanisdze, Ioane",3.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353244717l/16156257._SX50_.jpg
გრიგოლ ხანძთელის ცხოვრება,"Merchule, Giorgi",3.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446317345l/27401056._SX50_.jpg
შუშანიკის წამება,"Tsurtaveli, Iakob",3.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352381264l/16136432._SX50_.jpg
ურჩხული გიხმობს,"Ness, Patrick",4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482403970l/33405361._SX50_.jpg
"ჰარი პოტერი და აზკაბანის ტყვე
        (Harry Potter, #3)","Rowling, J.K.",4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404050197l/22601820._SX50_.jpg
"ჰარი პოტერი და საიდუმლო ოთახი
        (Harry Potter, #2)","Rowling, J.K.",4.43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404048975l/22601758._SY75_.jpg
"Crown of Midnight
        (Throne of Glass, #2)","Maas, Sarah J.",4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391580481l/17167166._SY75_.jpg
"Heir of Fire
        (Throne of Glass, #3)","Maas, Sarah J.",4.46,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460846511l/20613470._SY75_.jpg
ოქროს საწმისი,"Uspenskiy, Vsevolod",2.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440942678l/26192976._SY75_.jpg
ღმერთი სამსახურშია,"Gorgiladze, Dato",4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536697282l/41808912._SY75_.jpg
ამ რომანში ყველა კვდება,"Adamaschwili, Beka",3.71,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545385461l/43303032._SY75_.jpg
ქალაქი წყალზე,"Benidze, Salome",4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444551264l/27115133._SX50_.jpg
კუკარაჩა,"Dumbadze, Nodar",4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407865107l/22908663._SX50_.jpg
ბესტსელერი,"Adamaschwili, Beka",4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411558939l/23267356._SY75_.jpg
გოდოს მოლოდინში,"Beckett, Samuel",3.83,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420990870l/24442725._SX50_.jpg
სამი მეგობარი,"Remarque, Erich Maria",4.49,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385721422l/19040194._SX50_.jpg
სატახტოთა თამაში II,"Martin, George R.R.",4.46,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389205850l/20492779._SX50_.jpg
სატახტოთა თამაში I,"Martin, George R.R.",4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357205195l/17205223._SX50_.jpg
მეფეთა ჯახი II,"Martin, George R.R.",4.40,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450432443l/28237486._SX50_.jpg
მეფეთა ჯახი I,"Martin, George R.R.",4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449473255l/28115345._SX50_.jpg
"ბრძენკაცის შიში II
        (The Kingkiller Chronicle #2, Part 2)","Rothfuss, Patrick",4.50,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495817325l/35228838._SX50_.jpg
ბრძენკაცის შიში I,"Rothfuss, Patrick",4.53,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482685414l/33566131._SY75_.jpg
ქარის სახელი,"Rothfuss, Patrick",4.52,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464287618l/30296758._SX50_.jpg
მონტესუმას ასული,"Haggard, H. Rider",4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452847433l/28567821._SX50_.jpg
დედის ოთახი,"Gelashvili, Naira",4.51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377554739l/18377150._SX50_.jpg
ჰაკი აძბა,"Kiacheli, Leo",3.60,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620067157l/16068918._SY75_.jpg
